AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle;source_file;roadSurface_original
;0,0;;;;0,0156;25,49019623;64,0;100,0;801,0;7,849999905;22,0;-0,0078;;0;;;;SmoothCondition
;0,0;;;;0,0156;25,49019623;64,0;100,0;803,0;7,889999866;22,0;-0,0156;;0;;;;SmoothCondition
;;;;;0,0273;25,88235283;64,0;100,0;800,0;7,769999981;22,0;-0,0273;;0;;;;SmoothCondition
;;;;;0,0391;25,88235283;64,0;100,0;798,0;7,769999981;22,0;-0,0273;;0;;;;SmoothCondition
;0,0;;;;0,0469;25,88235283;65,0;100,0;798,0;7,940000057;22,0;-0,0312;;0;;;;SmoothCondition
;1,576259971;;;1,576259971;0,0586;25,88235283;65,0;100,0;799,0;7,900000095;21,0;-0,0391;;0;;;;SmoothCondition
;0,90072;;;-0,675539971;0,0742;25,49019623;65,0;100,0;798,0;7,900000095;22,0;-0,0469;;0;;;;SmoothCondition
;1,576259971;;;0,675539971;0,0937;26,27450943;65,0;100,0;799,0;7,800000191;22,0;-0,0469;;0;;;;SmoothCondition
;1,35108006;;;-0,225179911;0,1055;25,88235283;65,0;100,0;801,0;8,06000042;22,0;-0,043;;0;;;;SmoothCondition
2,7000122;1,576259971;;;0,225179911;0,1094;25,49019623;65,0;100,0;802,0;7,53000021;22,0;-0,0352;;0;;;;SmoothCondition
1,7999878;0,0;;;-1,576259971;0,1211;25,49019623;65,0;101,0;799,0;7,610000134;22,0;-0,0391;;0;;;;SmoothCondition
-2,2000122;0,45036;;;0,45036;0,1367;25,88235283;65,0;100,0;799,0;7,820000172;21,0;-0,043;;0;;;;SmoothCondition
-3,0;0,0;;;-0,45036;0,1445;25,49019623;65,0;100,0;798,0;7,960000038;22,0;-0,0391;;0;;;;SmoothCondition
-2,7999878;0,0;;;0,0;0,168;25,09803963;65,0;100,0;806,0;8,020000458;22,0;-0,0469;;0;;;;SmoothCondition
-2,5999756;0,0;;;0,0;0,1758;24,31372643;65,0;100,0;796,0;8,010000229;22,0;-0,0469;;0;;;;SmoothCondition
-2,2000122;0,0;;;0,0;0,1367;29,01960754;65,0;100,0;764,0;7,920000076;22,0;-0,0391;;0;;;;SmoothCondition
-0,7999878;1,576259971;;;1,576259971;0,1719;30,19607925;65,0;100,0;903,0;7,480000019;22,0;-0,0469;;0;;;;SmoothCondition
-5,8999634;0,67554003;;;-0,900719941;0,1758;24,70588303;65,0;101,0;834,0;8,68999958;22,0;-0,043;;0;;;;SmoothCondition
-9,2999878;0,45036;;;-0,22518003;0,1836;24,31372643;65,0;101,0;801,0;8,090000153;22,0;-0,0469;;0;;;;SmoothCondition
-9,5999756;0,0;;;-0,45036;0,1953;25,88235283;65,0;101,0;807,0;8,079999924;22,0;-0,0508;;0;;;;SmoothCondition
